company,source,date,to_grade,from_grade,action,price_target,prior_target,price_ticker,origin,signal,fwd_return,actual_up,is_directional,correct
Genmab,HC Wainwright & Co.,2024-08-06 11:28:19,Buy,Buy,reit,50.0,50.0,GMAB.CO,yahoo,1,-0.23436196830692246,False,True,0.0
Novo Nordisk,BMO Capital,2024-08-08 15:52:08,Outperform,Outperform,main,160.0,170.0,NOVO-B.CO,yahoo,1,-0.6183830350705914,False,True,0.0
Genmab,HC Wainwright & Co.,2024-08-09 21:22:54,Buy,Buy,reit,50.0,50.0,GMAB.CO,yahoo,1,-0.23434903047091415,False,True,0.0
Novo Nordisk,Cantor Fitzgerald,2024-08-19 16:25:40,Overweight,Overweight,reit,160.0,160.0,NOVO-B.CO,yahoo,1,-0.60869608889848,False,True,0.0
Genmab,JP Morgan,2024-08-20 10:35:52,Neutral,Overweight,down,0.0,0.0,GMAB.CO,yahoo,0,-0.15215600109859928,False,False,
Genmab,HC Wainwright & Co.,2024-08-20 11:05:42,Buy,Buy,reit,50.0,50.0,GMAB.CO,yahoo,1,-0.15215600109859928,False,True,0.0
Genmab,HC Wainwright & Co.,2024-08-27 10:21:38,Buy,Buy,reit,50.0,50.0,GMAB.CO,yahoo,1,-0.14769065520945224,False,True,0.0
Genmab,Truist Securities,2024-09-09 13:55:55,Buy,Buy,main,50.0,53.0,GMAB.CO,yahoo,1,-0.051496360204907,False,True,0.0
Novo Nordisk,Cantor Fitzgerald,2024-09-09 15:49:14,Overweight,Overweight,reit,160.0,160.0,NOVO-B.CO,yahoo,1,-0.6072304490458424,False,True,0.0
Genmab,Morgan Stanley,2024-09-11 15:33:33,Equal-Weight,Equal-Weight,main,31.0,31.0,GMAB.CO,yahoo,0,0.006909894969596486,True,False,
Genmab,HC Wainwright & Co.,2024-09-13 10:58:54,Buy,Buy,reit,50.0,50.0,GMAB.CO,yahoo,1,0.0,False,True,0.0
Genmab,HC Wainwright & Co.,2024-09-16 11:33:16,Buy,Buy,reit,50.0,50.0,GMAB.CO,yahoo,1,-0.0011258091753447719,False,True,0.0
Novo Nordisk,Cantor Fitzgerald,2024-09-16 16:21:43,Overweight,Overweight,reit,160.0,160.0,NOVO-B.CO,yahoo,1,-0.5994252265169999,False,True,0.0
Genmab,HC Wainwright & Co.,2024-09-20 10:40:46,Buy,Buy,reit,50.0,50.0,GMAB.CO,yahoo,1,0.05393586005830908,True,True,1.0
Novo Nordisk,Cantor Fitzgerald,2024-09-20 14:01:44,Overweight,Overweight,reit,160.0,160.0,NOVO-B.CO,yahoo,1,-0.5297486099255275,False,True,0.0
Novo Nordisk,Jefferies,2024-10-10 13:36:24,Buy,,init,15.0,0.0,NOVO-B.CO,yahoo,1,-0.5168467189342667,False,True,0.0
Novo Nordisk,Cantor Fitzgerald,2024-10-10 15:17:07,Overweight,Overweight,reit,160.0,160.0,NOVO-B.CO,yahoo,1,-0.5168467189342667,False,True,0.0
Novo Nordisk,BMO Capital,2024-10-14 16:54:31,Market Perform,Market Perform,main,10.0,9.0,NOVO-B.CO,yahoo,0,-0.5477147932784567,False,False,
Genmab,HC Wainwright & Co.,2024-10-16 11:09:54,Buy,Buy,reit,50.0,50.0,GMAB.CO,yahoo,1,0.3736723527518506,True,True,1.0
Novo Nordisk,Barclays,2024-10-16 20:04:36,Overweight,Overweight,main,10.0,12.0,NOVO-B.CO,yahoo,1,-0.5312907353011691,False,True,0.0
Novo Nordisk,BMO Capital,2024-10-17 13:56:38,Outperform,Outperform,main,156.0,160.0,NOVO-B.CO,yahoo,1,-0.5683939216678868,False,True,0.0
Novo Nordisk,Citigroup,2024-10-22 17:09:23,Buy,Buy,main,10.0,12.0,NOVO-B.CO,yahoo,1,-0.5589607855665095,False,True,0.0
Novo Nordisk,Cantor Fitzgerald,2024-11-06 14:51:24,Overweight,Overweight,reit,160.0,160.0,NOVO-B.CO,yahoo,1,-0.5787477484433097,False,True,0.0
Genmab,BMO Capital,2024-11-08 15:29:50,Outperform,Outperform,reit,48.0,46.0,GMAB.CO,yahoo,1,0.16048994974874375,True,True,1.0
Novo Nordisk,BMO Capital,2024-12-23 12:57:15,Outperform,Outperform,main,105.0,156.0,NOVO-B.CO,yahoo,1,-0.45224531159702996,False,True,0.0
Genmab,HC Wainwright & Co.,2025-01-08 14:10:55,Buy,Buy,main,50.0,50.0,GMAB.CO,yahoo,1,0.34417005314160676,True,True,1.0
Novo Nordisk,UBS,2025-01-08 14:21:11,Buy,Sell,up,0.0,0.0,NOVO-B.CO,yahoo,1,-0.38508194208679436,False,True,0.0
Genmab,HC Wainwright & Co.,2025-01-22 12:07:12,Buy,Buy,reit,50.0,50.0,GMAB.CO,yahoo,1,0.40264900662251657,True,True,1.0
Genmab,HC Wainwright & Co.,2025-01-23 12:07:12,Buy,Buy,reit,50.0,50.0,GMAB.CO,yahoo,1,0.40873015873015883,True,True,1.0
Genmab,Leerink Partners,2025-02-13 12:20:21,Outperform,Market Perform,up,27.0,0.0,GMAB.CO,yahoo,1,0.2781879194630872,True,True,1.0
Genmab,William Blair,2025-03-11 15:20:54,Outperform,Market Perform,up,0.0,0.0,GMAB.CO,yahoo,1,0.27098408104196814,True,True,1.0
Genmab,Truist Securities,2025-03-11 16:35:38,Buy,Buy,main,45.0,50.0,GMAB.CO,yahoo,1,0.27098408104196814,True,True,1.0
Genmab,HC Wainwright & Co.,2025-04-09 11:43:55,Buy,Buy,reit,37.0,50.0,GMAB.CO,yahoo,1,0.5425759520753102,True,True,1.0
Novo Nordisk,BMO Capital,2025-04-17 10:59:51,Market Perform,Outperform,down,64.0,105.0,NOVO-B.CO,yahoo,0,-0.353042855744517,False,False,
Genmab,HC Wainwright & Co.,2025-05-13 15:37:29,Buy,Buy,main,35.0,37.0,GMAB.CO,yahoo,1,0.3259842519685039,True,True,1.0
Novo Nordisk,TD Cowen,2025-06-18 22:06:53,Buy,Buy,reit,105.0,105.0,NOVO-B.CO,yahoo,1,,False,True,
Genmab,Truist Securities,2025-07-08 15:57:39,Buy,Buy,main,46.0,45.0,GMAB.CO,yahoo,1,,False,True,
Novo Nordisk,Barclays,2025-07-30 11:18:03,Equal-Weight,Overweight,down,0.0,0.0,NOVO-B.CO,yahoo,0,,False,False,
Novo Nordisk,HSBC,2025-07-31 17:30:15,Hold,Buy,down,0.0,0.0,NOVO-B.CO,yahoo,0,,False,False,
Novo Nordisk,UBS,2025-08-05 11:12:14,Neutral,Buy,down,0.0,0.0,NOVO-B.CO,yahoo,0,,False,False,
Genmab,HC Wainwright & Co.,2025-08-15 11:42:44,Buy,Buy,main,36.0,35.0,GMAB.CO,yahoo,1,,False,True,
Novo Nordisk,TD Cowen,2025-08-19 14:03:25,Buy,Buy,main,70.0,105.0,NOVO-B.CO,yahoo,1,,False,True,
Novo Nordisk,Berenberg,2025-09-17 17:18:26,Buy,Hold,up,0.0,0.0,NOVO-B.CO,yahoo,1,,False,True,
Genmab,Guggenheim,2025-09-23 12:40:10,Buy,Neutral,up,43.0,0.0,GMAB.CO,yahoo,1,,False,True,
Genmab,Guggenheim,2025-09-24 13:07:45,Buy,Neutral,up,43.0,0.0,GMAB.CO,yahoo,1,,False,True,
Novo Nordisk,Morgan Stanley,2025-09-29 11:35:46,Underweight,Equal-Weight,down,47.0,59.0,NOVO-B.CO,yahoo,-1,,False,True,
Genmab,HC Wainwright & Co.,2025-10-02 13:38:31,Buy,Buy,main,40.0,36.0,GMAB.CO,yahoo,1,,False,True,
Novo Nordisk,HSBC,2025-10-02 13:52:45,Buy,Hold,up,70.0,0.0,NOVO-B.CO,yahoo,1,,False,True,
Novo Nordisk,BMO Capital,2025-10-14 18:01:34,Market Perform,Market Perform,main,55.0,50.0,NOVO-B.CO,yahoo,0,,False,False,
Genmab,HC Wainwright & Co.,2025-10-15 10:28:14,Buy,Buy,reit,40.0,40.0,GMAB.CO,yahoo,1,,False,True,
Genmab,Truist Securities,2025-11-07 16:07:37,Buy,Buy,reit,48.0,49.0,GMAB.CO,yahoo,1,,False,True,
Genmab,HC Wainwright & Co.,2025-11-10 11:47:46,Buy,Buy,main,41.0,40.0,GMAB.CO,yahoo,1,,False,True,
Novo Nordisk,HSBC,2025-11-24 15:52:36,Hold,Buy,down,0.0,0.0,NOVO-B.CO,yahoo,0,,False,False,
Novo Nordisk,BMO Capital,2025-11-25 13:21:01,Market Perform,Market Perform,main,46.0,50.0,NOVO-B.CO,yahoo,0,,False,False,
Novo Nordisk,Goldman Sachs,2025-11-28 13:32:27,Buy,Buy,main,54.0,60.0,NOVO-B.CO,yahoo,1,,False,True,
Novo Nordisk,Argus Research,2025-12-08 13:20:13,Hold,Buy,down,0.0,0.0,NOVO-B.CO,yahoo,0,,False,False,
Novo Nordisk,CICC,2026-01-09 12:41:38,Outperform,,init,73.5,0.0,NOVO-B.CO,yahoo,1,,False,True,
Genmab,HC Wainwright & Co.,2026-01-20 11:40:01,Buy,Buy,main,39.0,41.0,GMAB.CO,yahoo,1,,False,True,
Genmab,HC Wainwright & Co.,2026-01-28 13:42:32,Buy,Buy,reit,39.0,39.0,GMAB.CO,yahoo,1,,False,True,
Genmab,HC Wainwright & Co.,2026-02-18 12:03:29,Buy,Buy,main,40.0,39.0,GMAB.CO,yahoo,1,,False,True,
Genmab,Guggenheim,2026-02-23 16:58:39,Buy,Buy,main,40.0,45.0,GMAB.CO,yahoo,1,,False,True,
Novo Nordisk,JP Morgan,2026-02-24 11:41:15,Neutral,Overweight,down,0.0,0.0,NOVO-B.CO,yahoo,0,,False,False,
Novo Nordisk,Goldman Sachs,2026-03-02 12:00:56,Neutral,Buy,down,41.0,63.0,NOVO-B.CO,yahoo,0,,False,False,
Genmab,Wells Fargo,2026-03-02 14:14:29,Overweight,,init,40.0,0.0,GMAB.CO,yahoo,1,,False,True,
Genmab,Wolfe Research,2026-03-27 11:56:47,Outperform,,init,32.0,0.0,GMAB.CO,yahoo,1,,False,True,
Genmab,HC Wainwright & Co.,2026-04-30 10:21:07,Buy,Buy,main,38.0,40.0,GMAB.CO,yahoo,1,,False,True,
