company,source,date,to_grade,from_grade,action,price_target,prior_target,price_ticker,origin,signal,fwd_return,actual_up,is_directional,correct
Genmab,HC Wainwright & Co.,2020-08-21 10:42:32,Buy,,main,41.0,40.0,GMAB.CO,yahoo,1,0.26875000000000004,True,True,1.0
Genmab,Truist Securities,2020-08-24 14:33:44,Buy,Buy,main,41.0,39.0,GMAB.CO,yahoo,1,0.26799322607959364,True,True,1.0
Genmab,SVB Leerink,2020-09-08 11:01:41,Market Perform,,init,35.0,0.0,GMAB.CO,yahoo,0,0.3126134301270418,True,False,
Genmab,Bryan Garnier,2020-09-23 09:45:07,Sell,Neutral,down,0.0,0.0,GMAB.CO,yahoo,-1,0.23503713411970284,True,True,0.0
Genmab,HC Wainwright & Co.,2020-09-23 11:04:04,Buy,,main,42.0,41.0,GMAB.CO,yahoo,1,0.23503713411970284,True,True,1.0
Maersk,Goldman Sachs,2020-09-29 09:29:42,Buy,Neutral,up,0.0,0.0,MAERSK-B.CO,yahoo,1,0.886869145146622,True,True,1.0
Genmab,Morgan Stanley,2020-10-13 13:29:04,Overweight,,main,35.0,32.0,GMAB.CO,yahoo,1,0.16590626296142674,True,True,1.0
Genmab,HC Wainwright & Co.,2020-11-05 11:12:08,Buy,,main,45.0,42.0,GMAB.CO,yahoo,1,0.2062600321027288,True,True,1.0
Genmab,Morgan Stanley,2020-11-05 13:12:05,Overweight,,main,37.0,35.0,GMAB.CO,yahoo,1,0.2062600321027288,True,True,1.0
Genmab,HC Wainwright & Co.,2020-11-25 11:12:07,Buy,,main,44.0,45.0,GMAB.CO,yahoo,1,0.15763765541740682,True,True,1.0
Genmab,SVB Leerink,2020-12-09 09:53:04,Market Perform,,main,34.0,36.0,GMAB.CO,yahoo,0,0.12192013593882756,True,False,
Genmab,Morgan Stanley,2020-12-16 17:41:44,Overweight,,main,41.0,37.0,GMAB.CO,yahoo,1,0.03240548400498544,True,True,1.0
