team,american
Frankrig,360
Argentina,390
Spanien,500
Brasilien,750
England,850
Tyskland,1200
Portugal,1300
Holland,1800
Belgien,3000
Kroatien,4500
Marokko,4500
Colombia,5500
Schweiz,8000
Mexico,9000
Senegal,9000
Norge,9000
USA,11000
Ecuador,13000
Sverige,15000
Østrig,15000
Japan,15000
Egypten,18000
Elfenbenskysten,22000
Ghana,25000
Algeriet,28000
Australien,30000
Paraguay,30000
Canada,30000
Bosnien-Hercegovina,40000
Congo DR,45000
Sydafrika,60000
Kap Verde,100000
